Year,Race,Distance (km),Net Gain (m),Lowest Elevation (m),Highest Elevation (m),Vertical Gain (m),Downhill (m)
2017,Brussels Cycling Classic,203.15,1965,24,169,1965,1996
2017,De Brabantse Pijl - La Fleche Brabanconne,205.27,2021,23,149,2021,1958
2017,Gent-Wevelgem in Flanders Fields,248.91,1537,-4,160,1537,1528
2017,Liege - Bastogne - Liege,265.11,4107,62,563,4107,4005
2017,Milano - Torino,185.04,1462,87,663,1462,896
2017,Omloop Het Nieuwsblad,198.17,1756,4,142,1756,1755
2017,Record Bank E3 Harelbeke,204.72,1845,9,164,1845,1846
2017,Scheldeprijs,200.7,291,3,49,291,320
2017,Strade Bianche,175.76,2938,140,457,2938,2858
2018,Brussels Cycling Classic,200.41,1964,24,169,1964,1965
2018,De Brabantse Pijl - La Fleche Brabanconne,202.11,2082,27,149,2082,2019
2018,Gent-Wevelgem in Flanders Fields,250.47,1521,-3,161,1521,1511
2018,Liege - Bastogne - Liege,172.03,2394,61,573,2394,2757
2018,Milano - Torino,199.87,2126,86,668,2126,1595
2018,Omloop Het Nieuwsblad,197.63,1638,8,107,1638,1624
2018,Record Bank E3 Harelbeke,206.58,1844,11,151,1844,1846
2018,Scheldeprijs,200.59,251,-2,22,251,251
2018,Strade Bianche,184.19,2990,141,459,2990,2911
2019,Brussels Cycling Classic,189.35,1815,24,172,1815,1877
2019,De Brabantse Pijl - La Fleche Brabanconne,200.23,2105,23,124,2105,2038
2019,Dwars door Vlaanderen - A travers la Flandre,182.41,1191,8,165,1191,1202
2019,E3 Binckbank Classic,204.26,2602,9,162,2602,2608
2019,Gent-Wevelgem in Flanders Fields,251.83,1503,-2,162,1503,1493
2019,Liege - Bastogne - Liege,171.52,2436,94,573,2436,2782
2019,Milano - Torino,178.86,1411,85,666,1411,882
2019,Scheldeprijs,203.22,235,-2,22,235,233
2019,Strade Bianche,184.4,2993,141,460,2993,2917
2020,Brussels Cycling Classic,204.22,1917,22,138,1917,1907
2020,De Brabantse Pijl - La Fleche Brabanconne,197.13,1986,28,148,1986,1930
2020,Milano - Torino,201.09,930,85,282,930,834
2020,Omloop Het Nieuwsblad,200.8,1650,6,105,1650,1653
2020,Scheldeprijs,176.55,710,1,15,710,710
2020,Strade Bianche,184.34,3073,139,460,3073,2998
2021,Brussels Cycling Classic,205.9,1776,17,148,1776,1833
2021,De Brabantse Pijl - La Fleche Brabanconne,202.34,2135,24,148,2135,2063
2021,Dwars door Vlaanderen - A travers la Flandre,184.26,1421,7,163,1421,1430.6
2021,E3 Saxo Bank Classic,204.36,1985,9,159,1985,1987
2021,Gent-Wevelgem in Flanders Fields,251.16,1405,-3,154,1405,1408
2021,Liege - Bastogne - Liege,259.46,4266,63,568,4266,4289
2021,Milano - Torino,190.35,1725,114,668,1725,1191
2021,Ronde van Vlaanderen - Tour des Flandres,254.63,2190,0,165,2190,2186
2021,Scheldeprijs,193.89,350,-2,33,350,345
2021,Strade Bianche,184.12,3072,139,460,3072,2997
2022,Brussels Cycling Classic,204.42,1751,17,149,1751,1808
2022,De Brabantse Pijl - La Fleche Brabanconne,205.31,2000,24,146,2000,1928
2022,E3 Saxo Bank Classic,205.29,1991,9,155,1991,1993
2022,Gent-Wevelgem in Flanders Fields,249.43,1315,-3,154,1315,1354
2022,Liege - Bastogne - Liege,257.41,4256,63,568,4256,4279
2022,Milano - Torino,199.63,1166,114,464,1166,947
2022,Ronde van Vlaanderen - Tour des Flandres,273.01,2281,0,164,2281,2278
2022,Scheldeprijs,198.89,384,-4,34,384,379
2022,Strade Bianche,184.56,3107,139,460,3107,3030
2023,Brussels Cycling Classic,207.65,1786,17,149,1786,1858
2023,De Brabantse Pijl - La Fleche Brabanconne,205.69,1998,24,146,1998,1926
2023,Dwars door Vlaanderen - A travers la Flandre,184.42,1436,8,165,1436,1447
2023,E3 Saxo Classic,202.89,1985,8,155,1985,1987
2023,Milano - Torino,195.26,864.73,114,426,864.73,732.73
2023,Omloop Het Nieuwsblad,132.36,972,6,105,972,970
2023,Ronde van Vlaanderen - Tour des Flandres,273.98,2179,6,164,2179,2173
2023,Scheldeprijs,205.48,355,-5,33,355,351
2023,Strade Bianche,184.05,3108,139,460,3108,3031
